question_id,question,image,option_1,option_2,option_3,option_4,answer,correct_option_text,explanation,difficulty,topic,question_type,key_terms
Q0011,마우스필(Mouthfill) 기술이 필요한 주된 이유는 무엇인가?,,실패 수심 아래에서 이퀄라이징을 하기 위해,더 오래 숨을 참기 위해,하강 속도를 높이기 위해,마스크 압착을 방지하기 위해,1,실패 수심 아래에서 이퀄라이징을 하기 위해,폐의 공기를 더 이상 끌어올릴 수 없는 실패 수심(RV 도달) 이전에 입에 공기를 미리 채워두고 이를 이용해 깊은 수심에서 압력평형을 한다.,쉬움,마우스필,목적,"마우스필,이퀄라이징"
Q0012,마우스필을 수행할 때 성문(Glottis)의 상태는 어떠해야 하는가?,,계속 열려 있어야 한다,공기를 입으로 옮긴 후에는 닫혀 있어야 한다,반쯤 열려 있어야 한다,상태는 중요하지 않다,2,공기를 입으로 옮긴 후에는 닫혀 있어야 한다,입에 모은 공기가 폐로 다시 돌아가지 않도록 성문을 닫아 잠가야(Lock) 한다.,보통,마우스필,메커니즘,"성문,Glottis"
Q0013,마우스필 기술에서 연구개(Soft Palate)의 올바른 위치는?,,닫혀서 코로 공기가 가는 것을 막아야 한다,중립(열림) 상태여야 한다,혀에 닿아 있어야 한다,떨려야 한다,2,중립(열림) 상태여야 한다,입 안에 있는 공기를 비강(코) 뒤쪽의 이관으로 보내기 위해 연구개는 열려 있어야 한다.,어려움,마우스필,메커니즘,"연구개,Soft Palate"
Q0014,마우스필 효율성을 떨어뜨리는 요인이 아닌 것은?,,공기를 삼키는 행위,성문이 열려 공기가 폐로 새는 것,입술 밖으로 공기가 새는 것,강한 횡격막 수축 없이 릴랙스 유지,4,강한 횡격막 수축 없이 릴랙스 유지,릴랙스 유지는 효율성을 높이는 요인이다. 나머지는 공기를 잃게 만드는 요인이다.,보통,마우스필,효율성,"효율성,실수"
Q0015,폐 패킹(Lung Packing)의 다른 의학적 용어는?,,발살바(Valsalva),프렌젤(Frenzel),설인두 공기 주입(Glossopharyngeal Insufflation),과호흡(Hyperventilation),3,설인두 공기 주입(Glossopharyngeal Insufflation),폐 패킹은 혀와 인두를 이용해 공기를 폐로 밀어 넣는 기술로 의학적으로는 설인두 공기 주입이라 불린다.,어려움,폐 패킹,용어,"패킹,Glossopharyngeal"
Q0016,폐 패킹의 효과로 올바르지 않은 것은?,,총폐용량(TLC) 증가,실패 수심 연장,흉곽 유연성 감소,폐의 압력 증가,3,흉곽 유연성 감소,패킹은 흉곽을 최대로 확장시키므로 장기적으로 흉곽 유연성을 증가시키는 스트레칭 효과가 있다.,보통,폐 패킹,효과,"패킹,TLC"
Q0017,폐 패킹의 즉각적인 부작용이나 위험 요소가 아닌 것은?,,현기증,혈압 상승,심박출량 감소,폐 압력 손상(Barotrauma),2,혈압 상승,"패킹은 흉강 내 압력을 높여 정맥 환류를 방해하므로, 결과적으로 심박출량이 감소하고 혈압이 '일시적으로 하강'할 수 있다(저혈압).",어려움,폐 패킹,생리학,"부작용,혈압"
Q0018,폐 패킹을 절대 해서는 안 되는 경우는?,,이퀄라이징이 잘 안 될 때,고혈압이나 심장 질환이 있는 경우,수심 20m를 다이빙할 때,마스크를 착용했을 때,2,고혈압이나 심장 질환이 있는 경우,패킹은 심혈관계에 큰 부담을 주므로 심장 질환자나 고혈압 환자에게는 금기 사항이다.,보통,폐 패킹,금기사항,"안전,병력"
Q0019,감압병(DCI)의 두 가지 주요 형태는 무엇인가?,,저체온증과 질소마취,감압병(DCS)과 동맥가스색전증(AGE),기흉과 폐기종,산소중독과 이산화탄소중독,2,감압병(DCS)과 동맥가스색전증(AGE),DCI(Decompression Illness)는 감압병(Decompression Sickness)과 동맥가스색전증(Arterial Gas Embolism)을 포괄하는 용어이다.,보통,DCI,분류,"DCI,DCS,AGE"
Q0020,프리다이버에게 감압병(DCI)이 발생하는 주된 메커니즘은?,,단 한번의 깊은 다이빙,짧은 수면 휴식 주기로 반복적인 깊은 다이빙,숨을 너무 오래 참음,이산화탄소 축적,2,짧은 수면 휴식 주기로 반복적인 깊은 다이빙,프리다이빙 DCI는 주로 조직 내에 질소가 축적되는 반복적인 깊은 다이빙과 불충분한 수면 휴식으로 인해 발생한다.,보통,DCI,원리,"반복 다이빙,질소"
Q0021,감압병(DCI)의 증상으로 보기 어려운 것은?,,피부 발진,극심한 피로감,관절 통증,안면 마스크 압착 자국,4,안면 마스크 압착 자국,"마스크 압착은 물리적 압력에 의한 외상이며, 체내 기포에 의한 DCI 증상과는 다르다.",쉬움,DCI,증상,"증상,구분"
Q0022,과거 폴리네시아의 진주 잠수부들이 겪었던 프리다이빙 감압병을 일컫는 용어는?,,삼바(Samba),블랙아웃(Blackout),타라바나(Taravana),스퀴즈(Squeeze),3,타라바나(Taravana),"타라바나'는 '미친 듯이 떨어지다'라는 뜻으로, 반복적인 다이빙으로 인한 DCI 증상을 일컫는 말이다.",보통,DCI,용어,타라바나
Q0023,감압병(DCI) 위험을 증가시키는 요인이 아닌 것은?,,탈수,추위,격렬한 운동,충분한 수분 섭취,4,충분한 수분 섭취,충분한 수분 섭취는 혈액 순환을 돕고 가스 배출을 원활하게 하여 DCI 위험을 줄여준다.,쉬움,DCI,예방,위험요인
Q0024,동맥가스색전증(AGE)이 발생할 가능성이 가장 높은 상황은?,,천천히 상승할 때,패킹 후 급상승하거나 상승 중 숨을 참을 때,수면에서 휴식을 취할 때,FRC 다이빙을 할 때,2,패킹 후 급상승하거나 상승 중 숨을 참을 때,상승 중 폐가 팽창할 때 기도가 폐쇄되거나 숨을 참으면 폐포가 파열되어 공기 방울이 혈류로 유입될 수 있다.,어려움,DCI,원인,"AGE,폐파열"
Q0025,PFO(난원공 개존증)가 있는 다이버가 감압병 위험이 높은 이유는?,,폐활량이 작아서,정맥의 기포가 동맥으로 넘어갈 수 있어서,이퀄라이징이 안 되어서,심박수가 너무 느려서,2,정맥의 기포가 동맥으로 넘어갈 수 있어서,"심장의 우심방과 좌심방 사이의 구멍(난원공)이 닫히지 않으면, 정맥혈의 기포가 폐를 거치지 않고 동맥혈로 직접 유입되어 색전증을 유발할 수 있다.",어려움,DCI,생리학,"PFO,심장"
Q0026,감압병(DCI) 의심 환자에 대한 현장 응급처치로 가장 적절한 것은?,,물속으로 다시 들여보낸다(재가압),순도 100% 산소를 공급한다,심폐소생술만 실시한다,아무것도 하지 않고 병원에 간다,2,순도 100% 산소를 공급한다,현장에서는 가능한 한 빨리 고농도 산소를 공급하여 질소 배출을 돕고 조직의 산소화를 도와야 한다. 물속 재가압은 위험하므로 금지된다.,보통,응급처치,절차,"산소,DCI"
Q0027,노즈 클립(Nose Clip)을 사용하는 주된 이점은?,,마스크 압착 방지,손을 사용하지 않고 이퀄라이징 가능,시야 확보,숨참기 시간 증가,2,손을 사용하지 않고 이퀄라이징 가능,"노즈 클립은 코를 막아주어 손을 코에 대지 않고도 압력평형을 할 수 있게 해 주며, 유선형 자세 유지에 도움을 준다.",쉬움,장비,기능,노즈 클립
Q0028,플루이드 고글(Fluid Goggles)의 특징은?,,내부에 공기가 들어있다,내부에 물을 채워 압착이 발생하지 않는다,유리로 되어 있어 시야가 선명하다,이퀄라이징이 필요하다,2,내부에 물을 채워 압착이 발생하지 않는다,플루이드 고글은 렌즈와 눈 사이에 물(식염수 등)을 채워 사용하므로 수압에 따른 공기 공간의 압축이 없어 마스크 압착이 발생하지 않는다.,보통,장비,특징,플루이드 고글
Q0029,랜야드(Lanyard)의 주된 역할은?,,하강 속도 조절,다이버와 유도줄(가이드 라인) 연결,웨이트 지지,부력 조절,2,다이버와 유도줄(가이드 라인) 연결,"랜야드는 다이버를 유도줄에 연결하여 조류에 떠내려가는 것을 방지하고, 사고 시 다이버를 끌어올릴 수 있게 하는 필수 안전 장비다.",쉬움,장비,안전,랜야드
Q0030,목 웨이트(Neck Weight)를 사용하는 주된 이유는?,,하체 부력을 줄이기 위해,유선형 자세와 트림(Trim) 밸런스를 맞추기 위해,숨을 더 오래 참기 위해,목을 보호하기 위해,2,유선형 자세와 트림(Trim) 밸런스를 맞추기 위해,폐의 부력으로 상체가 뜨는 것을 상쇄하여 수평 자세(DYN)나 수직 하강 시 유선형 자세를 잡는 데 도움을 준다.,보통,장비,목적,목 웨이트
Q0031,프리다이버가 다이빙 전 섭취하기에 가장 적절하지 않은 음식은?,,수분 함량이 높은 과일,쉽게 소화되는 탄수화물,기름지고 지방이 많은 음식,전해질 음료,3,기름지고 지방이 많은 음식,"지방은 소화가 느려 위장에 부담을 주고, 다이빙 중 역류하거나 불편함을 유발할 수 있다.",쉬움,영양,식단,금지식품
Q0032,프리다이빙 중 탈수(Dehydration)가 잘 발생하는 생리적 이유인 '침수 이뇨(Immersion Diuresis)'의 원인은?,,수온 상승,수압에 의한 혈액의 중심 이동 및 혈액량 인식 증가,짠 바닷물 섭취,과도한 땀 배출,2,수압에 의한 혈액의 중심 이동 및 혈액량 인식 증가,"물에 잠기면 수압으로 인해 말초 혈액이 흉강으로 이동하고, 신체는 혈액량이 과다하다고 착각하여 소변 배출을 촉진한다.",어려움,생리학,원리,"침수 이뇨,탈수"
Q0033,프리다이빙 훈련 후 회복을 위해 섭취해야 할 영양소 조합으로 가장 적절한 것은?,,고지방 및 카페인,탄수화물 및 단백질,알코올 및 당분,섬유질만 섭취,2,탄수화물 및 단백질,고갈된 글리코겐을 보충하기 위한 탄수화물과 근육 회복을 위한 단백질 섭취가 필수적이다.,보통,영양,회복,회복식
Q0034,AIDA4 보조 강사의 역할 범위에 포함되지 않는 것은?,,강사의 감독 하에 교육 보조,준비 운동(Warm-up) 지도,단독으로 AIDA 레벨 자격증 발급,장비 관리 및 감독,3,단독으로 AIDA 레벨 자격증 발급,"보조 강사는 단독으로 자격증을 발급할 권한이 없으며, 반드시 현역 AIDA 강사의 감독 하에 교육을 보조해야 한다.",보통,보조 강사,권한,"역할,제한"
Q0035,강습생을 감독(Supervision)할 때 보조 강사가 가장 우선순위에 두어야 할 것은?,,강습생의 기술 향상,강습생의 안전,교육 시간 엄수,장비의 정돈,2,강습생의 안전,"모든 다이빙 활동에서 가장 최우선은 안전이며, 보조 강사는 사고 예방과 즉각적인 대응을 위해 항상 경계를 늦추지 않아야 한다.",쉬움,보조 강사,원칙,"안전,감독"
Q0036,AIDA 의료진술서에서 병력이 '예(Yes)'로 체크된 경우 필요한 절차는?,,강사가 판단하여 교육 진행,본인이 서약서 쓰고 진행,의사의 검진 및 서명이 담긴 소견서 제출,해당 항목을 '아니오'로 수정,3,의사의 검진 및 서명이 담긴 소견서 제출,"병력 사항이 있는 경우, 반드시 의사에게 프리다이빙 적합 여부를 검진받고 승인 서명을 받아야 한다.",보통,행정,절차,의료진술서
Q0037,폐 스트레칭(Lung Stretching) 시 주의사항으로 옳은 것은?,,통증이 느껴질 때까지 강하게 한다,반동을 주며 빠르게 한다,빈속(공복) 상태에서 수행한다,식사 직후에 수행한다,3,빈속(공복) 상태에서 수행한다,폐 스트레칭(특히 횡격막 스트레칭)은 위장에 음식물이 있으면 구토를 유발하거나 효과가 떨어지므로 공복에 하는 것이 좋다.,보통,트레이닝,방법,"스트레칭,주의사항"
Q0038,프리다이빙 시 '반동(Bouncing)' 스트레칭을 피해야 하는 이유는?,,근육이 너무 이완되어서,신장 반사(Stretch Reflex)로 인한 부상 위험,심박수가 낮아져서,유연성에 도움이 안 되어서,2,신장 반사(Stretch Reflex)로 인한 부상 위험,반동을 주면 근육이 급격히 늘어나는 것을 막으려는 신장 반사가 작용하여 오히려 근육이 수축하거나 손상될 수 있다.,보통,트레이닝,안전,"스트레칭,반동"
Q0039,심상 훈련(Visualization)이 프리다이빙에 주는 이점이 아닌 것은?,,실제 다이빙 시 불안감 감소,운동 기술의 신경학적 적응,신체적 근육량 증가,자신감 향상,3,신체적 근육량 증가,"심상 훈련은 정신적 리허설을 통해 기술 습득과 마인드 컨트롤을 돕지만, 실제 근육량을 늘려주지는 않는다.",쉬움,트레이닝,심리,"멘탈,시각화"
Q0040,다이빙 전 '교감 신경'보다 '부교감 신경'을 활성화해야 하는 이유는?,,심박수를 높이기 위해,각성 상태를 유지하기 위해,심박수를 낮추고 이완(Relaxation)하기 위해,소화를 촉진하기 위해,3,심박수를 낮추고 이완(Relaxation)하기 위해,"프리다이빙은 산소 소모를 줄여야 하므로, 부교감 신경을 활성화하여 평온하고 낮은 심박수 상태를 만드는 것이 유리하다.",보통,생리학,신경계,"부교감신경,릴랙스"
Q0041,프리다이빙 후 비행기 탑승(Fly) 금지 시간과 관련된 일반적인 권장 사항은?,,다이빙 직후 바로 탑승 가능,최소 12~24시간 대기 권장,3시간 후 탑승 가능,비행 중 산소를 마시면 즉시 가능,2,최소 12~24시간 대기 권장,잔류 질소로 인한 기내 감압병(DCI) 위험을 예방하기 위해 딥 다이빙 후에는 충분한 대기 시간이 필요하다.,쉬움,안전,규정,"비행,대기시간"
Q0042,보조 강사로서 응급 상황 발생 시 가장 먼저 해야 할 행동은?,,책임 소재 파악,피해자 가족에게 연락,현장 안전 확보 및 구조 절차 개시,장비 회수,3,현장 안전 확보 및 구조 절차 개시,구조자 자신의 안전을 포함하여 현장을 확보하고 즉시 구조 및 응급처치 프로토콜을 시작해야 한다.,쉬움,응급처치,절차,우선순위
Q0043,프리다이빙 장비 중 'D-ring'의 용도는?,,웨이트 벨트 고정,랜야드 연결,스노클 부착,핀 고정,2,랜야드 연결,벨트나 부이에 있는 D-ring은 주로 랜야드의 카라비너를 연결하여 안전을 확보하는 데 사용된다.,쉬움,장비,용도,D-ring
Q0044,다이빙 컴퓨터의 '수면 휴식 시간(Surface Interval)' 알림 기능이 중요한 이유는?,,배터리를 아끼기 위해,다음 다이빙을 위한 최소 회복 시간을 지키기 위해,현재 시간을 알기 위해,조류를 파악하기 위해,2,다음 다이빙을 위한 최소 회복 시간을 지키기 위해,DCI 예방을 위해 이전 다이빙 깊이와 시간에 비례한 충분한 휴식 시간을 갖도록 돕는다.,보통,장비,기능,"컴퓨터,휴식"
Q0045,프로플러그(Vented earplugs)를 사용할 때의 장점은?,,소리를 완전히 차단한다,물이 들어오지 않으면서 압력평형이 가능하다,귀를 따뜻하게 한다,모든 수심에서 사용 가능하다,2,물이 들어오지 않으면서 압력평형이 가능하다,벤트(구멍)가 있는 귀마개는 물의 유입을 막아 감염을 예방하면서도 공기가 통하여 이퀄라이징을 가능하게 한다.,보통,장비,특징,이어플러그
Q0046,보조 강사가 시범(Demonstration)을 보일 때 가장 중요한 태도는?,,가장 어려운 기술을 보여준다,빠르게 대충 보여준다,정석적인 기술을 명확하고 천천히 보여준다,실수해도 자연스럽게 넘어간다,3,정석적인 기술을 명확하고 천천히 보여준다,학생들이 모방할 수 있도록 표준 기술을 과장되고 명확한 동작으로 천천히 보여주어야 한다.,보통,교육학,방법,시범
Q0047,과훈련(Overtraining)의 징후로 볼 수 없는 것은?,,안정 시 심박수 증가,지속적인 피로감,숙면 및 식욕 증가,운동 수행 능력 저하,3,숙면 및 식욕 증가,"과훈련 상태에서는 불면증, 식욕 감퇴, 기분 변화 등이 나타나며, 숙면과 식욕 증가는 회복이 잘 되고 있다는 신호일 수 있다.",보통,트레이닝,징후,과훈련
Q0048,이산화탄소(CO2) 내성 훈련의 주된 효과는?,,폐활량 증가,호흡 충동(Contraction) 지연 및 견딤 능력 향상,산소 저장 능력 향상,근육 비대,2,호흡 충동(Contraction) 지연 및 견딤 능력 향상,"CO2 내성이 생기면 호흡 충동이 늦게 오거나, 강한 호흡 충동이 와도 당황하지 않고 견딜 수 있는 정신적/신체적 능력이 향상된다.",보통,트레이닝,효과,"CO2,내성"
Q0049,프리다이빙 전 스트레칭의 순서로 가장 권장되는 것은?,,전신 → 흉곽/폐 → 호흡근,호흡근 → 전신 → 흉곽,상체 → 하체 → 전신,순서는 상관없다,1,전신 → 흉곽/폐 → 호흡근,"일반적인 관절/근육 풀기(전신) 후, 다이빙에 특화된 흉곽 및 폐 스트레칭으로 넘어가는 것이 안전하고 효과적이다.",보통,트레이닝,절차,스트레칭 순서
Q0050,흉곽 스트레칭 시 들이마신 숨을 유지하며 상체를 움직이는 이유는?,,근력을 키우기 위해,폐 내부의 공기 압력을 이용해 흉곽을 안에서 밖으로 확장시키기 위해,어지러움을 느끼기 위해,이퀄라이징 연습을 위해,2,폐 내부의 공기 압력을 이용해 흉곽을 안에서 밖으로 확장시키기 위해,"가득 찬 공기가 내부 지지대 역할을 하여, 움직임에 따라 늑간근과 흉곽 관절을 더 효과적으로 늘려준다.",어려움,트레이닝,원리,흉곽 스트레칭
Q0051,다음 중 횡격막(Diaphragm)의 유연성이 부족할 때 발생하는 문제는?,,이퀄라이징이 더 쉬워진다,깊은 수심에서 혈액 이동(Blood Shift)이 방해받지 않는다,깊은 수심에서 복부 쪽으로 당겨지는 느낌과 함께 부상 위험 증가,폐활량이 늘어난다,3,깊은 수심에서 복부 쪽으로 당겨지는 느낌과 함께 부상 위험 증가,횡격막이 유연하지 않으면 압축된 폐에 맞춰 위로 올라가지 못하고 긴장 상태가 되어 횡격막 경련이나 부상을 유발할 수 있다.,어려움,생리학,안전,"횡격막,유연성"
Q0052,마우스필'을 배우기 전 선행되어야 할 필수 기술은?,,발살바 이퀄라이징,프렌젤 이퀄라이징,핸즈프리 이퀄라이징,토인비 이퀄라이징,2,프렌젤 이퀄라이징,"마우스필은 입 안의 공기를 혀와 턱을 이용해 밀어 넣는 기술이므로, 이와 유사한 메커니즘인 프렌젤 기술이 숙달되어 있어야 한다.",쉬움,마우스필,조건,선행기술
