question_id,question,image,option_1,option_2,option_3,option_4,answer,correct_option_text,explanation,difficulty,topic,question_type,key_terms,
AIDA2-A-12,다음 중 ' 숨을 참은 끝에 발생하는  심한 저산소증으로  인해 의식을  완전히  잃은 상태' 를 의미하는  한 가지를  고르시오 .,,LMC - 운동신경조절장애,초과호흡,BO - 의식상실,청색증,3,C: BO - 의식상실,,hard,AIDA2,multiple_choice,,
AIDA2-A-13,"Q. BO 나 LMC를 예방하기 위한 방법을 모두 고르세요.

A. 자각이나 경험은 BO나 LMC를 예방하는 핵심 내용이다.

B. 다이빙 전에 초과호흡을 하지 않는다!

C. 프리다이빙을 할 때 수심이나 시간을 늘릴 때 여러번 반복하며 차근차근 늘려나간다.

D. 긴장완화운동이 숨참기를 준비하기 위해 가장 안전한 방법이다.",,"A, B, C","A, C, D","B, C, D",전부 다,4,"A: 자각이나  경험은  BO 나 LMC 를 예방하는  핵심 내용이다 ., B: 다이빙  전에 초과호흡을  하지 않는다 !, C: 프리다이빙을  할 때 수심이나  시간을  늘릴 때 여러번  반복하며  차근차근  늘려나간다 ., D: 긴장완화운동이  숨참기를  준비하기  위해 가장 안전한  방법이다 .",,hard,AIDA2,multiple_choice,,
AIDA2-A-14,버디가  운동신경조절장애  (LMC) 를 겪고 있음을  나타내는  징후를  4 가지 이상 적으시오 .,,,,,,3,,,medium,AIDA2,multiple_choice,,
AIDA2-A-15,당신에게  의식상실  (BO) 이 다가오고  있음을  나타내는  증상을  4 가지 이상 적으시오 .,,중성부력이  되는 지점,"아무 증상 없음, 이명, 터널 시야, 뚜렷하지  않은 생각, 손발이  저리거나  감각이  없음, 따뜻한  느낌, 갑자기  다이빙이  편해진  느낌",40m,횡격막,2,"정답: 아무 증상 없음, 이명, 터널 시야, 뚜렷하지  않은 생각, 손발이  저리거나  감각이  없음, 따뜻한  느낌, 갑자기  다이빙이  편해진  느낌",,hard,AIDA2,multiple_choice,,
AIDA2-A-16,다음 중 의식상실  (BO) 의 가장 큰 원인 한 가지만  고르시오 .,,준비 시간 부족,초과호흡,잘못된  핀차기  기술,상승 중 세이프티  다이버가  너무 가까이  다가와서,3,잘못된  핀차기  기술,,medium,AIDA2,multiple_choice,,
AIDA2-A-17,"Q. LMC 구조 절차를 순서에 맞게 나열하시오.

A. 프리다이버의 기도가 물 밖으로 유지될 수 있도록 부드럽게 잡는다.

B. LMC의 결과로 인한 부상이 있나 확인한다.

C. 안심시키고 회복호흡을 계속 하도록 지도한다.

D. 필요하면 안면장비를 제거를 도와준다.

E. 당일 다이빙을 중지하도록 권고한다.",,A - B - C - D - E,A - C - D - B - E,A - D - C - B - E,D - A - B - C - E,3,A - D - C - B - E,,medium,AIDA2,multiple_choice,,
AIDA2-A-18,"Q. 의식상실(BO) 구조 절차를 순서에 맞게 나열하시오.

A. 프리다이버를 수면 위로 끌어 올린다.

B. 모든 안면 장비를 제거한다.

C. 만약 프리다이버가 10-15초 이후에도 숨을 쉬지 않으면 최대 5회의 구조호흡을 실시한다.

D. 불기(Blow), 톡톡 치기 (Tap), 말하기 (Talk) - (BTT)

E. 해당 프리다이버가 당일 프리다이빙을 중지하도 권고한다.

F. 기도가 수면 위로 유지되도록 의식을 잃은 프리다이버를 잡는다.

G. 회복되지 않는 경우, 해당 프리다이버를 물 밖으로 옮겨서 CPR을 시행하고, 응급 의료 지원을 요청한다.",,A - B - C - D - E - F - G,A - B - F - D - C - G - E,A - F - B - D - C - G - E,,3,A - F - B - D - C - G - E,,medium,AIDA2,multiple_choice,,
AIDA2-A-19,의식상실 (BO) 이나 운동신경조절장애  (LMC) 의 발생을  대비해  준비할  수 있는 요소를  4 가지 이상 적으시오 .,,,,,,3,"정답: 항상 버디와  함께 다이빙  하라, 최소 10m 에서 떠오를  수 있게 중량납  조절, 다이빙  전 입에서  스노클  제거, 적어도  수심 10m 에서 함께 상승, 구조기술을  배우고  연습하기 , 문제의  징후가  나타나면  중량납  버리기 , 수면에  도착하면  바로 부유기구를  잡아라 , 만약 당신이  행동해야  한다고  생각하면  행동하라 !",,medium,AIDA2,multiple_choice,,
AIDA2-A-20,프리다이빙에  영향을  미칠 수 있는 요소를  4 가지 이상 적으시오 .,,,,,,3,"정답: 탈수증 , 저혈당 , 음식, 흡연, 충혈 완화제 , 운동, 피로, 스트레스 , 차가운  물 온도",,hard,AIDA2,multiple_choice,,
AIDA2-A-21,"DCS( 감압병 ) 를 예방하기  위해, 한 번의 스쿠버  다이빙을  한 후에는  최소 ( ) 시간 그리고  두 번 이상의  스쿠버  다이빙을  한 후에는  최소 ( ) 시간이  지난 후에 프리다이빙을  한다.",,"12 시간, 12 시간","12 시간, 24 시간","24 시간, 12 시간","24 시간, 24 시간",2,"12 시간, 24 시간",,hard,AIDA2,multiple_choice,,
AIDA2-A-22,"물속에  들어갈  때, 매 10m 당 1bar 씩 압력이  상승한다 .",,참,거짓,,,1,참,,easy,AIDA2,multiple_choice,,
AIDA2-A-23,다음 중 보일의  법칙을  올바르게  설명한  문장을  하나만  고르시오 .,,"온도가  일정할  때, 기체의  부피는  절대 압력에  반비례  한다.","온도가  일정할  때, 기체의  부피는  절대 압력과  같다.","압력이  일정할  때, 기체의  부피는  절대 온도에  반비례  한다.",정답 없음,1,"A: 온도가  일정할  때, 기체의  부피는  절대 압력에  반비례  한다.",,medium,AIDA2,multiple_choice,,
AIDA2-A-24,프리다이버가  하강할  때 압력평형을  해야만  하는 공기 공간이 아닌곳은?,,마스크,부비강,양쪽 귀,폐,4,폐,,hard,AIDA2,multiple_choice,,
AIDA2-A-25,"Q. 다음 중 귀와 부비강 압력평형에 이용되는 기술을 모두 고르시오.

A. 머듈러 기술

B. 발살바 기술

C. 포리지 기술

D. 프렌젤 기술",,"A, B","B, C","C, D","B, D",4,"B: 발살바  기술, D: 프렌젤  기술",,hard,AIDA2,multiple_choice,,
AIDA2-A-26,"Q. 마스크 압력평형을 위한 방법을 모두 고르시오.

A. 마스크 압착이 느껴지면 잡았던 코를 놓는다.

B. 코를 통해 부드럽게 숨을 내쉰다.

C. 코를 통해 숨을 들이쉰다.

D. 코를 잡고 강하게 숨을 내쉰다.",,"A, B","B, C","C, D","B, D",1,"A: 마스크  압착이  느껴지면  잡았던  코를 놓는다 ., B: 코를 통해 부드럽게  숨을 내쉰다 .",,hard,AIDA2,multiple_choice,,
AIDA2-A-27,압력평형을  수월하게  하기 위한 방법을  4 가지 이상 적으시오 .,,,,,,1,"정답: 충분히  자주 하는 압력평형 , 필요하면  하강 속도를  줄임, 강제적  압력평형  삼가기 , 감기나  코막힘이  있을 때 다이빙  하지 않기, 충혈 완화제  사용 않기, 다이빙  중 긴장완화 , 턱 당기기 , 머리와  목 긴장풀기",,easy,AIDA2,multiple_choice,,
AIDA2-A-28,프리다이빙  장비를  직사광선으로부터  보호하는  것이 중요하다 . 대부분의  장비는  열과 UV 광선에  약한 재질로  만들어졌다 .,,참,거짓,,,1,A: 참,,hard,AIDA2,multiple_choice,,
AIDA2-A-29,"Q. 프리다이빙용 마스크로서 적합한 특성은 무엇인지 모두 고르세요.

A. 작은 부피

B. 불편하지 않게 얼굴에 밀착 될 수 있는 스커트

C. 안전을 위해 버디가 눈을 볼 수 있도록 투명한 렌즈를 장착

D. 반사되는 렌즈",,"A, B, C","A, C, D","B, C, D","A, B, D",1,"A: 작은 부피, B: 불편하지  않게 얼굴에  밀착 될 수 있는 스커트, C: 안전을  위해 버디가  눈을 볼 수 있도록  투명한  렌즈를  장착",,medium,AIDA2,multiple_choice,,
AIDA2-A-30,"Q. 프리다이빙용 바이핀(bi-fins)의 특징을 설명하는 문장을 고르시오.

A. 일반적인 핀보다 길고 강력하다.

B. 개방형 풋 포켓과 부츠를 결합하여 착용한다.

C. 프리다이빙용 핀은 오직 플라스틱 재질로만 만든다.

D. 다양한 강성의 날(blade) 사용이 가능하다.",,"A, B","A, D","B, C","C, D",2,"A: 일반적인  핀보다  길고 강력하다 ., D: 다양한  강성의  날(blade) 사용이  가능하다 .",,easy,AIDA2,multiple_choice,,
AIDA2-A-31,"Q. 프리다이빙용 중량납 벨트의 특징을 모두 고르시오.

A. 호흡에 방해되지 않도록 허리보다는 엉덩이(골반)에 착용한다.

B. 빠른 제거 기능이 없다.

C. 벨트에 끼우는 중량납 개수를 제한하기 위해 크기가 큰 중량납을 사용한다.

D. 신축성있는 재질로 만들어 엉덩이 위에 꽉 조여 움직이지 않도록 한다.",,"A, B","A, D","B, C","C, D",2,"A. 호흡에 방해되지 않도록 허리보다는 엉덩이(골반)에 착용한다.
D. 신축성있는 재질로 만들어 엉덩이 위에 꽉 조여 움직이지 않도록 한다.",,medium,AIDA2,multiple_choice,,
AIDA2-A-32,"Q. 답안지를 보고 각각에 맞는 프리다이빙 종목을 고르세요. 

[보기: 다이내믹 압니어, 컨스탄트 웨이트, 스테틱 압니어, 프리 이머젼, 베리어블 웨이트, 노 리미츠]

A. 한 호흡으로 이동한 수평거리를 측정

B. 무거운 썰매를 타고 하강, 리프팅 장비를 이용한 상승

C. 핀을 착용하지 않고 줄을 당기며 하강과 상승

D. 중량납이나 썰매를 이용한 하강, 중량납을 놓고 상승

E. 수영장에서 숨을 참고 물 위에 엎드려서 진행

F. 중량납 무게의 변화 없이 핀을 차며 수영으로 하강과 상승",,,,,,3,"A - 다이내믹

B - 노 리미츠

C - 프리 이머젼

D - 베리어블 웨이트

E - 스테틱

F - 컨스탄트 웨이트",,medium,AIDA2,multiple_choice,,
AIDA2-A-33,회복호흡에  대해 설명한  문장을  하나만  고르시오 .,,횡격막을  이용한  깊고 느린 들숨.,최소 3 회 이상 반복하는  무의식적  날숨과  빠르고  큰 들숨,완전 날숨 뒤에 이어지는  완전 들숨,얕은 들숨과  날숨B  번호 문제 ( 통합) 정답 내 답안,3,,,easy,AIDA2,multiple_choice,,
AIDA2-B-01,"Q. 산소는 헤모글로빈과 결합하여 적혈구에 의해 폐로부터 운반되고, 이산화탄소는 혈장에 녹아 폐로 운반된다.

A. 참

B. 거짓",,A,B,,,1,A,,hard,AIDA2,multiple_choice,,
AIDA2-B-02,"Q. 다음 중 폐와 혈액 간의 기체 교환이 이루어지는 곳을 고르시오.

A. 기관지

B. 기관

C. 폐포

D. 횡격막",,A,B,C,D,3,C,,medium,AIDA2,multiple_choice,,
AIDA2-B-03,"Q. 횡격막을 사용하는 복식호흡이 흉식호흡보다 더 효율적이며, 숨을 참기 전에 긴장을 풀 수 있게 해준다.

A. 참

B. 거짓",,A,B,,,1,A,,easy,AIDA2,multiple_choice,,
AIDA2-B-04,"Q. 다음 중 폐 안의 압력을 변화시키는 주요 근육을 모두 고르시오. 

A. 횡격막

B. 흉근

C. 늑간근

D. 이두근",,"A, B","A, C","B, C","C, D",2,"A, C",,hard,AIDA2,multiple_choice,,
AIDA2-B-05,Q. 호흡에 이용되는 가장 효율적인 근육은 ( )이다.,,이두근,횡격막,삼두근,복근,2,횡격막,,medium,AIDA2,multiple_choice,,
AIDA2-B-06,Q. 낮은 ( ) 농도가 아니라 상대적으로 높은 ( )의 농도가 호흡충동을 일으킨다.,,산소 - 산소,산소 - 이산화탄소,이산화탄소 - 산소,이산화탄소 - 이산화탄소,2,산소 - 이산화탄소,,easy,AIDA2,multiple_choice,,
AIDA2-B-07,"Q. 혈액 내에는 항상 일정량의 이산화탄소가 존재한다.

A. 참

B. 거짓",,참,거짓,,,1,A,,hard,AIDA2,multiple_choice,,
AIDA2-B-08,"Q. 옳은 것을 모두 고르시오. 

A. 건강한 사람이 숨을 쉴 때, 혈액은 언제나 96~99%의 농도로 산소가 포화되어 있다.

B. 초과호흡은 혈중 산소 농도를 확연히 증가시킨다.

C. 초과호흡은 호흡충동을 지연시킬 수 있으며,
그로 인해 어떤 경고 신호도 느끼지 못한 상태로 지나치게 오래 다이빙을 함으로써 LMC나 BO이 발생할 수 있기 때문에 위험하다.

D. 긴장완화 단계에서 프리다이버는 긴장완화 기술에 집중한다.",,"A, B, C","A, C, D","B, C, D",B,2,"A, C, D",,hard,AIDA2,multiple_choice,,
AIDA2-B-09,Q. 초과호흡의 증상을 4가지 이상 적으시오.,,,,,,4,"병적 쾌감, 손발이 아림,
어지럽고 쓰러질 것 같음,
현기증, 입 주변이 저림,
입안에 금속성(비릿한) 맛",,medium,AIDA2,multiple_choice,,
AIDA2-B-10,"Q. 만약 초과호흡 증상을 느꼈다면 당신이 호흡을 적절히 했으며 다이빙할 준비가 되었다는 뜻이다. 

A. 참

B. 거짓",,A,B,,,2,B,,easy,AIDA2,multiple_choice,,
AIDA2-B-11,"Q. 의식상실(BO)에 대해 올바르게 설명한 문장을 모두 고르시오. 

A. 의식상실(BO)은 숨참기 끝에 심각한 저산소증으로 인해 의식을 완전히 잃은 상태를 말한다.

B. 의식상실을 겪은 후에는 남은 시간 동안 계속 다이빙을 해야한다.

C. BO에서 회복된 후, 그 프리다이버는 방금 무슨 일이 일어났는지 모르기도 한다.

D. 다이빙을 하는 동안 뇌가 정상적으로 기능하지 못할 정도로 산소를 써버린다. 이 시점에 당신의 뇌는 '생존모드'로 접어들게 되고 의식을 잃게 된다.",,"A, B, C","A, C, D","B, C, D",B,2,"A, C, D",,easy,AIDA2,multiple_choice,,
AIDA2-B-12,"Q. ""낮은 산소 농도에 의해 발생하는 저산소 발작""을 의미하는 한 가지를 고르시오. 

A. LMC - 운동신경조절장애

B. 초과호흡

C. BO - 의식상실

D. 청색증",,A,B,C,D,1,A,,hard,AIDA2,multiple_choice,,
AIDA2-B-13,"Q. 자기 자신을 알고 많은 경험을 하는 것이 BO와 LMC 예방의 열쇠이다. 

A. 참

B. 거짓",,A,B,,,1,A,,easy,AIDA2,multiple_choice,,
AIDA2-B-14,Q. 버디가 운동신경조절장애(LMC)를 겪고 있음을 나타내는 징후를 4가지 이상 적으시오.,,,,,,2,"몸을 가누지 못함,
통제되지 않는 경련,
안면 뒤틀림, 초점 흐린 눈,
혼동, 중얼거림, 떨림,
미흡한 반응(대응), 청색증",,medium,AIDA2,multiple_choice,,
AIDA2-B-15,Q. 버디에게 의식상실 (BO)이 다가오고 있음을 나타내는 징후를 4가지 이상 적으시오.,,,,,,2,"아무 증상 없음(Hv),
유도줄을 당김(CW),
비규칙적 핀 차기,
초점이 흐리거나 놀란 눈,
청색증, 공기 배출,
마지막 구간 속도 증가,
비정상적인 모든 행동",,medium,AIDA2,multiple_choice,,
AIDA2-B-16,"Q. 다음 중 의식상실(BO)이 다가오고 있음을 나타내는 경고 증상을 모두 고르시오. 

A. 갑자기 따뜻한 느낌

B. 이명

C. 터널 시야

D. 자신감 있는 강한 핀 차기",,"A, B, C","A, C, D","B, C, D","B, C",1,"A, B, C",,medium,AIDA2,multiple_choice,,
AIDA2-B-17,"Q. LMC 구조 절차를 순서에 맞게 나열하시오.

A. 프리다이버의 기도가 물 밖으로 유지될 수 있도록 부드럽게 잡는다.

B. LMC의 결과로 인한 부상이 있나 확인한다. (수영장 모서리 충격)

C. 안심시키고 회복호흡을 계속 하도록 지도한다.

D. 필요하면 안면장비 제거를 도와준다.

E. 당일 다이빙을 중지하도록 권고한다.",,A - B - C - D - E,A - C - D - B - E,A - D - C - B - E,D - A - B - C - E,3,A - C - D - B - E,,medium,AIDA2,multiple_choice,,
AIDA2-B-18,"Q. 의식상실(BO) 구조 절차를 순서에 맞게 나열하시오. 

A. 프리다이버를 수면 위로 끌어 올린다.

B. 모든 안면 장비를 제거한다.

C. 만약 프리다이버가 10-15초 이후에도 숨을 쉬지 않으면 최대 5회의 구조호흡을 실시한다.

D. 불기(Blow), 톡톡 치기(Tap), 말하기(Talk) - (BTT)

E. 해당 프리다이버가 당일 프리다이빙을 중지하도록 권고한다.

F. 기도가 수면 위로 유지되도록 의식을 잃은 프리다이버를 잡는다.

G. 회복되지 않는 경우, 해당 프리다이버를 물 밖으로 옮겨서 CPR을 시행하고, 응급 의료 지원을 요청한다.",,A - B - C - D - E - F - G,A - B - F - D - C - G - E,A - F - B - D - C - G - E,,3,A - F - B - D - C - G - E,,medium,AIDA2,multiple_choice,,
AIDA2-B-19,Q. 의식상실(BO)이나 운동신경조절장애 (LMC)의 발생을 대비해 준비할 수 있는 요소를 4가지 이상 적으시오.,,,,,,1,"항상 버디와 함께 다이빙 하라
최소 10m에서 떠오를 수 있게 중량납 조절
다이빙 전 입에서 스노클 제거
적어도 수심 10m에서 함께 상승 
구조기술을 배우고 연습하기
문제의 징후 가 나타나면 중량납 버리기
수면에 도착하면 바로 부유기구를 잡아라
만약 당신이 행동해야 한다고 생각하면 행동하라!",,medium,AIDA2,multiple_choice,,
AIDA2-B-20,Q. 프리다이빙에 영향을 미칠 수 있는 요소를 4가지 이상 적으시오.,,,,,,3,"탈수증, 저혈당, 음식, 흡연,
충혈 완화제, 운동, 피로,
긴장완화, 스트레스, 낮은 수온",,hard,AIDA2,multiple_choice,,
AIDA2-B-21,"Q. DCS(감압병)를 예방하기 위해, 한 번의 스쿠버 다이빙을 한 후에는 최소 ( )시간
그리고 두 번 이상의 스쿠버 다이빙을 한 후에는 최소 ( )시간이 지난 후에 프리다이빙을 한다.",,"12 시간, 12 시간","12 시간, 24 시간","24 시간, 12 시간","24 시간, 24 시간",2,"12시간, 24 시간",,medium,AIDA2,multiple_choice,,
AIDA2-B-22,"Q. 잠재적인 폐 손상을 방지하기 위해 스쿠버 다이버로부터 공기를 받아 마시지 않는다 

1. A. 참

2. B. 거짓",,A,B,,,1,A,,easy,AIDA2,multiple_choice,,
AIDA2-B-23,"Q. 프리다이빙 기술에 대해 올바르게 설명한 문장을 모두 고르시오. 

A. 프리다이빙에서 좋은 기술 연마는 성공을 위한 중요한 요소이다.

B. 좋은 기술은 산소 소비를 최소화하여, 당신이 가장 효율적인 방법으로 다이빙을 시작하고, 수중에서 움직일 수 있게 해준다.

C. 좋은 기술을 연습하면 다이빙을 할 때 안전과 즐거움이 극대화 된다.

D. 좋은 기술은 오직 대회에 참가하기 위한 프리다이버들에게만 중요하다.",,"A, B, C","A, C, D","B, C, D","B, C",1,"A, B, C",,medium,AIDA2,multiple_choice,,
AIDA2-B-24,"Q. 보일의 법칙 - '온도가 일정할 때, 기체의 부피는 절대 압력에 반비례 한다.' 

A. 참

B. 거짓",,A,B,,,1,A,,medium,AIDA2,multiple_choice,,
AIDA2-B-25,"Q. 보일의 법칙을 적용하여 다음 표를 완성하시오. 

[수심 / 압력 / 기체부피]

1. 0m / 1Bar / 1

2. 10m / ( ) / ( )

3. 40m / ( ) / ( )

4. 100m / ( ) / ( )",,0m / 1Bar / 1,10m / 2Bar / 1/2,20m / 3Bar / 1/3,50m / 5Bar / 1/5,4,"1Bar(1)
2Bar(1/2)
5Bar(1/5)
11Bar(1/11)",,hard,AIDA2,multiple_choice,,
AIDA2-B-26,"Q. 다음 중 프리다이버가 하강할 때 압력평형을 해야 공기 공간을 모두 고르시오. 

A. 폐

B. 양쪽 귀

C. 부비강

D. 마스크",,"A, B, C","A, C, D","B, C, D","B, D",,"B, C, D",,medium,AIDA2,multiple_choice,,
AIDA2-B-27,"Q. 마르큘라 기술은 프리다이버들이 압력평형을 하기 위해 가장 바람직한 방법이다.

A. 참

B. 거짓",,A,B,,,2,B,,hard,AIDA2,multiple_choice,,
AIDA2-B-28,Q. 압력평형을 수월하게 하기 위한 방법을 4가지 이상 적으시오.,,,,,,2,"충분히 자주 하는 압력평형
필요하면 하강 속도를 줄임
강제적 압력평형 삼가기 감기나 코막힘이 있을 때 다이빙 하지 않기 충혈 완화제 사용 않기
다이빙 중 긴장완화 턱 당기기
머리와 목 긴장풀기",,medium,AIDA2,multiple_choice,,
AIDA2-B-29,"Q. 귀와 부비강 압력평형에 가장 많이 이용되는 기술들을 모두 고르시오.

A. 발살바

B. 프렌젤

C. 만근추",,"A, B","B, C, ","A, C",전부 다,1,발살바 - 프렌젤,,hard,AIDA2,multiple_choice,,
AIDA2-B-30,"Q. 프리다이빙 장비를 직사광선으로부터 보호하는 것이 중요하다. 대부분의 장비는 열과 UV 광선에 약한 재질로 만들어졌다. 

A. 참

B. 거짓",,A,B,,,1,A,,easy,AIDA2,multiple_choice,,
AIDA2-B-31,"Q. 프리다이빙 마스크로서 적합한 특성은 무엇인지 모두 고르세요. 

A. 주변 시야를 극대화하기 위해 렌즈와 부피가 큰 렌즈

B. 안전을 위해 버디가 눈을 볼 수 있도록 투명한 렌즈를 장착

C. 반사되는 렌즈

D. 불편하지 않게 얼굴에 밀착 되는 스커트",,"A, B","A, C","B, C","B, D",4,"B, D",,medium,AIDA2,multiple_choice,,
AIDA2-B-32,"Q. 프리다이빙 핀차기 기술을 배우기 위해서는 부드럽거나 짧은 핀을 사용하는 게 좋다. 

A. 참

B. 거짓",,A,B,,,1,A,,easy,AIDA2,multiple_choice,,
AIDA2-B-33,"Q. 다음 중 프리다이빙 수트의 특징을 모두 고르시오. 

A. 절대로 후드가 달려있지 않다.

B. 때때로 유연성과 보온성을 위해 고급 재질의 네오프렌으로 만든다.

C. 몸에 꼭 맞도록 맞춤 수트를 주문하는 게 이상적이다.

D. 착용하기 쉽도록 지퍼가 있다.",,"A, B","A, C","B, C","B, D",2,"B, C",,hard,AIDA2,multiple_choice,,
AIDA2-B-34,"Q. 프리다이빙용 중량납 벨트는 신축성있는 재질로 만들어졌으며,
호흡에 방해되지 않도록 허리보다는 엉덩이(골반)에 착용하며 안전을 위해 빠른 제거 기능이 있다. 

A. 참

B. 거짓",,A,B,,,3,A,,medium,AIDA2,multiple_choice,,
AIDA2-B-35,"Q. 프리다이빙을 할 때 스노클을 사용하는 방법을 올바르게 설명한 문장을 모두 고르시오.

A. 수면에서 당신이 버디를 주시하는 동안 숨을 쉬기 위해 사용한다.

B. 항상 입에 물고 다이빙을 한다.

C. 유선형 자세를 흐뜨리지 않고, 의식상실이 일어났을 때 당신을 보호할 수 있도록 (하강) 하기 전 입에서 스노클을 제거한다.

D. 정답 없음",,"A, B","A, C","B, C","B, D",3,"A, C",,medium,AIDA2,multiple_choice,,
,"Q. 답안지를 보고 각각에 맞는 프리다이빙 종목을 고르세요. 

[보기: 다이내믹 압니어, 컨스탄트 웨이트, 스테틱 압니어, 프리 이머젼, 베리어블 웨이트, 노 리미츠]

A. 한 호흡으로 이동한 수평거리를 측정

B. 무거운 썰매를 타고 하강, 리프팅 장비를 이용한 상승

C. 핀을 착용하지 않고 줄을 당기며 하강과 상승

D. 중량납이나 썰매를 이용한 하강, 중량납을 놓고 상승

E. 수영장에서 숨을 참고 물 위에 엎드려서 진행

F. 중량납 무게의 변화 없이 핀을 차며 수영으로 하강과 상승",,,,,,,"A - 다이내믹

B - 노 리미츠

C - 프리 이머젼

D - 베리어블 웨이트

E - 스테틱

F - 컨스탄트 웨이트",,,,,,
,"Q. '심리전'으로 설명되는 종목을 한가지만 고르시오. 

A. 다이내믹 압니어

B. 컨스탄트 웨이트

C. 스테틱 압니어

D. 프리 이머젼",,A,B,C,D,,C,,,,,,
AIDA3-A-01,Q. 고막천공이 의심되면 어떻게 해야 하나? 그리고 왜 그렇게 해야 하나?,,,,,,3,"즉시 물 밖으로 나가서 귀를 건조하게 유지.
즉시 병원에 가서 진료를 받는 것이 좋다.
감염의 위험이 크기 때문에",,hard,AIDA3,multiple_choice,,
